School Name,Rank in America,District,School Grade Level,Rating,User Reviews,Overall Niche Grade,School Strength,Student Teacher Ratio,Extracted Date
Liberal Arts & Science Academy,#11 Best Public High Schools in America,"Austin Independent School District, TX",9-12,4.0,395,A+,"1,016",16:1,2019-03-14 09:09:07.757432
School of Science & Engineering,#23 Best Public High Schools in America,"Dallas Independent School District, TX",9-12,4.0,176,A+,418,17:1,2019-03-14 09:09:07.757469
School for the Talented & Gifted,#27 Best Public High Schools in America,"Dallas Independent School District, TX",9-12,4.0,145,A+,256,15:1,2019-03-14 09:09:07.757483
Carnegie Vanguard High School,#37 Best Public High Schools in America,"Houston Independent School District, TX",9-12,4.0,269,A+,621,19:1,2019-03-14 09:09:07.757494
Westlake High School,#41 Best Public High Schools in America,"Eanes Independent School District, TX",9-12,4.0,429,A+,"2,584",15:1,2019-03-14 09:09:07.757506
Carroll Senior High School,#102 Best Public High Schools in America,"Carroll Independent School District, TX",11-12,4.0,412,A+,"1,299",15:1,2019-03-14 09:09:07.757517
Seven Lakes High School,#103 Best Public High Schools in America,"Katy Independent School District, TX",9-12,4.0,"1,027",A+,"3,229",18:1,2019-03-14 09:09:07.757529
Westwood High School,#112 Best Public High Schools in America,"Round Rock Independent School District, TX",9-12,4.0,528,A+,"2,709",16:1,2019-03-14 09:09:07.757541
Clements High School,#121 Best Public High Schools in America,"Fort Bend Independent School District, TX",9-12,4.0,680,A+,"2,455",19:1,2019-03-14 09:09:07.757553
Uplift North Hills Preparatory Upper School,#132 Best Public High Schools in America,"Irving, TX",9-12,4.0,222,A+,526,15:1,2019-03-14 09:09:07.757564
Liberty High School,#150 Best Public High Schools in America,"Frisco Independent School District, TX",9-12,4.0,478,A+,"2,083",15:1,2019-03-14 09:09:07.757575
Highland Park High School,#168 Best Public High Schools in America,"Highland Park Independent School District, TX",9-12,4.0,139,A+,"2,114",14:1,2019-03-14 09:09:07.757587
The Science Academy of South Texas,#186 Best Public High Schools in America,"South Texas Independent School District, TX",9-12,4.0,300,A+,731,13:1,2019-03-14 09:09:07.757600
Vandegrift High School,#191 Best Public High Schools in America,"Leander Independent School District, TX",9-12,4.0,338,A+,"2,257",17:1,2019-03-14 09:09:07.757612
BASIS San Antonio Primary - North Central Campus,nan,"BASIS San Antonio Medical Center, TX",K-5,3.5,2,A+,583,—,2019-03-14 09:09:07.757622
Cinco Ranch High School,#200 Best Public High Schools in America,"Katy Independent School District, TX",9-12,4.0,571,A+,"3,167",18:1,2019-03-14 09:09:07.757639
